job_id,title,company,required_skills,location,salary_range
0,Fresher DevOps Engineer,Google,"Linux, Docker, Kubernetes, Jenkins",Mumbai,₹8-8 LPA
1,Fresher Data Scientist,Amazon,"Machine Learning, Python, Pandas, Statistics",Remote,₹4-18 LPA
2,Junior Full Stack Developer,Infosys,"AWS, MongoDB, Python, Node.js",Mumbai,₹7-18 LPA
3,Associate Full Stack Developer,Amazon,"MongoDB, AWS, Node.js, React",Pune,₹8-16 LPA
4,Junior Full Stack Developer,Amazon,"AWS, Node.js, React, Python",Mumbai,₹3-8 LPA
5,Junior Full Stack Developer,Microsoft,"React, Node.js, Python, MongoDB",Pune,₹6-17 LPA
6,Junior Full Stack Developer,Flipkart,"React, AWS, Node.js, MongoDB",Pune,₹4-12 LPA
7,Junior Data Scientist,TCS,"Pandas, Statistics, Python, SQL",Pune,₹8-20 LPA
8,Associate Frontend Developer,Zomato,"TypeScript, React, CSS3, HTML5",Hyderabad,₹5-17 LPA
9,Associate ML Engineer,Wipro,"TensorFlow, PyTorch, Python, Scikit-learn",Remote,₹3-13 LPA
10,Fresher Backend Developer,Microsoft,"MongoDB, Django, Node.js, SQL",Remote,₹7-11 LPA
11,Associate Full Stack Developer,Wipro,"Node.js, MongoDB, React, Python",Remote,₹5-20 LPA
12,Fresher DevOps Engineer,Accenture,"Docker, AWS, Kubernetes, Jenkins",Hyderabad,₹5-10 LPA
13,Fresher Cloud Engineer,Flipkart,"Terraform, Kubernetes, Azure, AWS",Mumbai,₹8-16 LPA
14,Junior Cloud Engineer,Amazon,"Azure, Docker, Terraform, AWS",Mumbai,₹4-16 LPA
15,Associate ML Engineer,Flipkart,"PyTorch, Scikit-learn, Python, TensorFlow",Mumbai,₹7-11 LPA
16,Fresher Full Stack Developer,Wipro,"AWS, MongoDB, React, Node.js",Pune,₹7-11 LPA
17,Associate DevOps Engineer,Amazon,"Jenkins, Linux, AWS, Kubernetes",Hyderabad,₹4-15 LPA
18,Associate DevOps Engineer,TCS,"Kubernetes, Linux, Jenkins, Docker",Mumbai,₹7-17 LPA
19,Junior Frontend Developer,Accenture,"TypeScript, JavaScript, CSS3, React",Noida,₹8-10 LPA
20,Junior Data Scientist,Google,"Machine Learning, Statistics, Python, SQL",Pune,₹3-14 LPA
21,Associate Frontend Developer,Amazon,"CSS3, React, JavaScript, TypeScript",Pune,₹4-19 LPA
22,Fresher ML Engineer,Zomato,"Python, Scikit-learn, TensorFlow, PyTorch",Bangalore,₹8-19 LPA
23,Junior Frontend Developer,Microsoft,"React, HTML5, JavaScript, TypeScript",Bangalore,₹3-18 LPA
24,Associate Full Stack Developer,Zomato,"Python, AWS, React, MongoDB",Chennai,₹6-17 LPA
25,Junior DevOps Engineer,Accenture,"Docker, Jenkins, Linux, Kubernetes",Chennai,₹3-14 LPA
26,Associate Backend Developer,Amazon,"Node.js, SQL, Django, MongoDB",Bangalore,₹3-16 LPA
27,Junior Frontend Developer,Accenture,"React, HTML5, CSS3, TypeScript",Bangalore,₹8-10 LPA
28,Fresher DevOps Engineer,Infosys,"Linux, Jenkins, Kubernetes, Docker",Noida,₹6-20 LPA
29,Junior Data Analyst,Accenture,"Python, Power BI, SQL, Tableau",Hyderabad,₹7-10 LPA
30,Associate Data Scientist,Zomato,"Statistics, Machine Learning, Pandas, SQL",Chennai,₹3-8 LPA
31,Associate ML Engineer,Zomato,"Python, TensorFlow, Scikit-learn, PyTorch",Pune,₹7-13 LPA
32,Junior Full Stack Developer,Zomato,"AWS, Python, Node.js, MongoDB",Noida,₹6-8 LPA
33,Fresher Backend Developer,Wipro,"Node.js, MongoDB, Django, Python",Remote,₹7-12 LPA
34,Fresher Full Stack Developer,Accenture,"Node.js, AWS, MongoDB, Python",Mumbai,₹8-14 LPA
35,Associate Data Scientist,Google,"Statistics, SQL, Python, Machine Learning",Chennai,₹6-13 LPA
36,Fresher DevOps Engineer,Wipro,"AWS, Jenkins, Linux, Docker",Chennai,₹8-17 LPA
37,Associate Full Stack Developer,Zomato,"Node.js, Python, MongoDB, React",Mumbai,₹4-18 LPA
38,Fresher Data Analyst,Accenture,"Excel, SQL, Power BI, Python",Mumbai,₹7-13 LPA
39,Associate Backend Developer,Flipkart,"Django, Node.js, SQL, Python",Hyderabad,₹4-13 LPA
40,Junior Data Analyst,Microsoft,"Tableau, SQL, Power BI, Python",Noida,₹8-12 LPA
41,Fresher DevOps Engineer,Zomato,"AWS, Docker, Kubernetes, Linux",Noida,₹4-12 LPA
42,Fresher Data Analyst,Zomato,"Python, Power BI, Excel, SQL",Pune,₹6-11 LPA
43,Fresher ML Engineer,Amazon,"Scikit-learn, TensorFlow, Python, PyTorch",Chennai,₹6-18 LPA
44,Associate Cloud Engineer,Google,"AWS, Azure, Kubernetes, Terraform",Bangalore,₹5-17 LPA
45,Junior Data Analyst,Infosys,"Excel, Tableau, Power BI, Python",Chennai,₹6-9 LPA
46,Associate Data Analyst,Google,"Power BI, Excel, Python, Tableau",Noida,₹7-20 LPA
47,Junior DevOps Engineer,Flipkart,"Docker, Linux, Kubernetes, AWS",Noida,₹7-10 LPA
48,Associate Frontend Developer,Wipro,"CSS3, TypeScript, HTML5, React",Remote,₹6-13 LPA
49,Junior Data Analyst,Wipro,"Tableau, Excel, Python, SQL",Mumbai,₹6-12 LPA
50,Fresher Data Scientist,Google,"SQL, Machine Learning, Statistics, Pandas",Pune,₹8-11 LPA
51,Junior Data Analyst,Microsoft,"Power BI, Python, Tableau, Excel",Bangalore,₹5-18 LPA
52,Associate Data Analyst,Wipro,"SQL, Tableau, Python, Excel",Bangalore,₹7-11 LPA
53,Junior Frontend Developer,Accenture,"JavaScript, HTML5, React, CSS3",Mumbai,₹5-15 LPA
54,Junior Data Scientist,Flipkart,"SQL, Pandas, Statistics, Machine Learning",Hyderabad,₹4-9 LPA
55,Associate Backend Developer,Infosys,"Node.js, Django, Python, SQL",Mumbai,₹4-9 LPA
56,Fresher Data Analyst,TCS,"SQL, Tableau, Python, Power BI",Bangalore,₹4-9 LPA
57,Fresher Data Scientist,Google,"Python, SQL, Pandas, Machine Learning",Bangalore,₹8-13 LPA
58,Fresher Backend Developer,Zomato,"Python, Node.js, MongoDB, SQL",Pune,₹3-16 LPA
59,Junior Data Scientist,Infosys,"Statistics, Pandas, Machine Learning, SQL",Mumbai,₹7-14 LPA
60,Fresher DevOps Engineer,Infosys,"Docker, Jenkins, AWS, Kubernetes",Chennai,₹5-10 LPA
61,Fresher Frontend Developer,TCS,"TypeScript, HTML5, CSS3, JavaScript",Noida,₹6-11 LPA
62,Associate Frontend Developer,Amazon,"CSS3, HTML5, JavaScript, React",Noida,₹6-15 LPA
63,Associate Backend Developer,Infosys,"Node.js, MongoDB, Django, SQL",Mumbai,₹7-8 LPA
64,Junior Frontend Developer,Flipkart,"JavaScript, TypeScript, CSS3, HTML5",Remote,₹4-12 LPA
65,Fresher Cloud Engineer,Microsoft,"AWS, Docker, Terraform, Azure",Mumbai,₹4-14 LPA
66,Junior Frontend Developer,Flipkart,"HTML5, React, TypeScript, JavaScript",Hyderabad,₹6-17 LPA
67,Junior ML Engineer,Zomato,"TensorFlow, Python, PyTorch, Scikit-learn",Chennai,₹6-9 LPA
68,Fresher ML Engineer,Zomato,"Python, PyTorch, TensorFlow, Scikit-learn",Noida,₹3-17 LPA
69,Junior Backend Developer,Microsoft,"Django, SQL, Node.js, Python",Noida,₹7-18 LPA
70,Fresher Cloud Engineer,Wipro,"Docker, AWS, Azure, Terraform",Mumbai,₹3-15 LPA
71,Fresher Frontend Developer,Google,"JavaScript, HTML5, React, CSS3",Remote,₹7-20 LPA
72,Fresher ML Engineer,TCS,"PyTorch, Python, TensorFlow, Scikit-learn",Bangalore,₹4-16 LPA
73,Associate ML Engineer,Wipro,"TensorFlow, PyTorch, Scikit-learn, Python",Hyderabad,₹3-11 LPA
74,Junior Frontend Developer,Wipro,"React, TypeScript, CSS3, HTML5",Mumbai,₹5-18 LPA
75,Junior Backend Developer,Microsoft,"Django, MongoDB, Node.js, SQL",Pune,₹4-8 LPA
76,Junior Data Analyst,Flipkart,"SQL, Excel, Python, Power BI",Mumbai,₹3-9 LPA
77,Fresher Data Scientist,Microsoft,"SQL, Pandas, Python, Statistics",Chennai,₹3-19 LPA
78,Fresher ML Engineer,Microsoft,"Scikit-learn, TensorFlow, PyTorch, Python",Remote,₹8-14 LPA
79,Junior Data Analyst,Google,"Python, Tableau, SQL, Excel",Bangalore,₹3-15 LPA
80,Junior ML Engineer,Zomato,"TensorFlow, PyTorch, Scikit-learn, Python",Noida,₹8-19 LPA
81,Junior Data Analyst,Zomato,"Excel, Python, Power BI, Tableau",Remote,₹4-13 LPA
82,Associate Cloud Engineer,Flipkart,"AWS, Kubernetes, Terraform, Azure",Mumbai,₹6-10 LPA
83,Fresher Data Scientist,Microsoft,"Statistics, Machine Learning, SQL, Pandas",Noida,₹5-8 LPA
84,Fresher Cloud Engineer,Accenture,"Kubernetes, Terraform, Azure, Docker",Remote,₹7-12 LPA
85,Fresher Data Analyst,Google,"Excel, Power BI, SQL, Tableau",Noida,₹6-17 LPA
86,Associate Frontend Developer,Zomato,"HTML5, JavaScript, CSS3, TypeScript",Pune,₹3-8 LPA
87,Fresher Backend Developer,Zomato,"Django, SQL, Node.js, Python",Chennai,₹5-20 LPA
88,Associate Full Stack Developer,Amazon,"Python, MongoDB, AWS, React",Mumbai,₹6-11 LPA
89,Junior ML Engineer,TCS,"TensorFlow, Scikit-learn, PyTorch, Python",Chennai,₹4-8 LPA
90,Fresher DevOps Engineer,Wipro,"Kubernetes, Docker, Linux, AWS",Hyderabad,₹7-12 LPA
91,Junior Full Stack Developer,Amazon,"AWS, MongoDB, Python, Node.js",Pune,₹7-13 LPA
92,Fresher Data Scientist,Microsoft,"Statistics, Machine Learning, SQL, Pandas",Mumbai,₹7-17 LPA
93,Associate DevOps Engineer,Amazon,"Docker, Jenkins, AWS, Kubernetes",Mumbai,₹7-18 LPA
94,Junior Backend Developer,Google,"Node.js, Python, MongoDB, Django",Hyderabad,₹4-11 LPA
95,Associate Frontend Developer,Microsoft,"JavaScript, HTML5, TypeScript, CSS3",Hyderabad,₹4-10 LPA
96,Associate Backend Developer,Google,"SQL, Python, MongoDB, Node.js",Noida,₹4-15 LPA
97,Associate Full Stack Developer,Flipkart,"AWS, Node.js, Python, MongoDB",Remote,₹4-17 LPA
98,Junior ML Engineer,Google,"TensorFlow, PyTorch, Python, Scikit-learn",Hyderabad,₹7-13 LPA
99,Associate Frontend Developer,Accenture,"CSS3, React, JavaScript, TypeScript",Pune,₹6-9 LPA
100,Associate Data Analyst,Zomato,"SQL, Power BI, Tableau, Excel",Bangalore,₹3-19 LPA
